Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2020,"Carretera",2020-01-29,"C-31","153,8","VILANOVA I LA GELTRU","Garraf","Barcelona",0,1,1,2,3,0,1,0,1,1,0,0,0,"100","No","No n'hi ha","Terraplé","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Encalç","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners",17.34,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2020,"Zona urbana",2020-01-16,"SE","999999","TERRASSA","Valles Occidental","Barcelona",0,1,0,1,1,0,0,0,1,0,0,0,0,"100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","Si","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Caiguda en la via","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",23.15,"Nit","Bolcada a la calcada","dill-dij"
2020,"Zona urbana",2020-02-17,"BP-5109","0,4","SANT ANTONI DE VILAM","Valles Oriental","Barcelona",0,1,0,1,2,0,1,0,0,1,0,0,0,"999","No","No n'hi ha","Sense Especificar","NA","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Senyal Stop o cedeix pas","NA","Envestida (frontal lateral)","Intersecció en T o Y","Travessera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","Feiners",19.0,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2020,"Zona urbana",2020-01-11,"SE","999999","MATARO","Maresme","Barcelona",0,1,0,1,2,1,0,0,0,1,0,0,0,"NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","Sense especificar","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","CapDeSetmana",10.4,"Matí","Atropellament","dis"
2020,"Zona urbana",2020-01-16,"SE","999999","RIPOLLET","Valles Occidental","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,"100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Envestida (frontal lateral)","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",20.0,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2020,"Zona urbana",2020-01-08,"SE","999999","BARCELONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,2,0,0,0,0,"100","No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","NA","Un sol sentit","Fregament o col·lisió lateral","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",15.2,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2020,"Carretera",2020-01-16,"C-43","11,4","GANDESA","Terra Alta","Tarragona",0,1,0,1,2,1,0,0,0,1,0,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Atropellament","NA","Carretera","Sec i net","Carretera convencional","Autonòmica","Pla","Calma, vent molt suau","Feiners",11.35,"Matí","Atropellament","dill-dij"
2020,"Zona urbana",2020-01-27,"SE","999999","BARCELONA","Barcelones","Barcelona",0,1,0,1,2,0,0,0,2,0,0,0,0,"100","No","Si","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","NA","Doble sentit","Caiguda en la via","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",8.4,"Matí","Bolcada a la calcada","dill-dij"
2020,"Zona urbana",2020-02-05,"SE","999999","LA CANONJA","Tarragones","Tarragona",0,1,0,1,2,1,0,0,1,0,0,0,0,"40","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Senyal velocitat","De dia, dia clar","Senyal Stop o cedeix pas","Un sol sentit","Atropellament","Intersecció en T o Y","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",11.1,"Matí","Atropellament","dill-dij"
2020,"Zona urbana",2020-02-11,"SE","999999","SANTA COLOMA DE GRAMANET","Barcelones","Barcelona",0,1,0,1,2,1,0,0,0,1,0,0,0,"NA","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","Sense especificar","No","No","No","Sense especificar","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Doble sentit","Xoc amb animal a la calçada","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","Sense especificar","Calma, vent molt suau","Feiners",13.3,"Matí","Col.lisió d'un vehicle contra un obstacle de la calcada","dill-dij"
