Comarca,Turismes,Tractors industrials,Motocicletes,Camions i furgonetes,Autobusos,Altres,Total,Vehicles per 1.000 hab.
Alt Camp,26650,338,4595,6342,19,1638,39582,876
Alt Empordà,82772,1197,19229,22881,98,5790,131967,933
Alt Penedès,62123,688,11868,13978,97,5913,94667,851
Alt Urgell,11938,113,1888,3808,46,888,18681,923
Alta Ribagorça,1980,44,287,845,2,245,3403,852
Anoia,67580,596,13592,15425,113,4288,101594,810
Aran,5602,41,1197,2396,20,491,9747,956
Bages,114985,3098,22450,28530,294,14087,183444,1020
Baix Camp,102892,763,22077,22152,83,3967,151934,768
Baix Ebre,41663,400,7497,14282,257,2489,66588,839
Baix Empordà,80571,275,22393,21905,186,3042,128372,939
Baix Llobregat,375566,2764,92987,60238,805,15403,547763,661
Baix Penedès,56548,478,10796,10210,41,2495,80568,719
Barcelonès,736522,3606,315076,125359,3250,21856,1205669,532
Berguedà,23362,184,4325,7518,14,1791,37194,924
Cerdanya,10369,47,2518,4614,19,1150,18717,968
Conca de Barberà,11892,95,2006,3436,2,971,18402,919
Garraf,69703,394,23483,11579,34,2025,107218,695
Garrigues,11396,114,1781,3531,10,942,17774,935
Garrotxa,32501,296,6490,9026,22,1825,50160,854
Gironès,98242,819,22815,23510,353,4526,150265,780
Maresme,213724,620,62882,38849,332,7146,323553,707
Moianès,7615,49,1658,2348,0,570,12240,859
Montsià,36961,447,5077,11662,13,2122,56282,805
Noguera,22340,727,3282,6485,34,2299,35167,906
Osona,88914,849,15739,22421,68,6019,134010,819
Pallars Jussà,7004,108,946,2710,14,761,11543,879
Pallars Sobirà,4050,25,672,2008,25,556,7336,1020
Pla d'Urgell,21948,530,2938,5186,30,1827,32459,860
Pla de l'Estany,18139,200,3655,4910,28,1153,28085,858
Priorat,5639,14,1268,2221,16,393,9551,1034
Ribera d'Ebre,12826,60,2526,4046,12,902,20372,942
Ripollès,14305,115,2848,4535,44,1073,22920,901
Segarra,13661,294,1767,3652,37,1091,20502,883
Segrià,104585,3444,16248,24993,289,8826,158385,757
Selva,93438,911,26816,21850,357,4703,148075,851
Solsonès,8100,177,1453,3001,8,896,13635,978
Tarragonès,130566,1176,27802,22405,805,5353,188107,712
Terra Alta,5897,41,825,2626,1,548,9938,880
Urgell,21114,442,2754,5623,6,1420,31359,839
Vallès Occidental,440781,3047,91218,77924,781,19343,633094,673
Vallès Oriental,216634,2002,41457,42605,672,11481,314851,755
Catalunya,3513245,31629,923204,723683,9337,174310,5375408,692
Àmbit Metropolità,1985358,12068,604202,345680,5840,75426,3028574,616
Comarques Gironines,419968,3813,104246,108617,1088,22112,659844,866
Camp de Tarragona,277639,2386,57748,56556,925,12322,407576,760
Terres de l'Ebre,97347,948,15925,32616,283,6061,153180,841
Ponent,195044,5551,28770,49470,406,16405,295646,809
Comarques Centrals,240845,4328,45043,63113,395,23155,376879,912
Alt Pirineu i Aran,40943,378,7508,16381,126,4091,69427,937
Penedès,255954,2156,59739,51192,285,14721,384047,772
